
Buffett,Andy, B to A
Andy,Buffett, test1
Andy,Buffett, test2
Buffett,Andy, Buf test3
Buffett,Andy, hello Andy
Buffett,Hello, World dsadasda
Buffett,3, Andy
Buffett,Andy, hello world
Buffett,Andy, Buffett I want to see the world
Buffett,Lily,  I'm happy.
Buffett,Lily,  We always eat dinner together.
Buffett,They, take the bus to work.  
Buffett,Lily,  They take the bus to work.
Buffett,Lily, They enjoy reading books on weekends.
Buffett,Lily, She studies math every evening.
Buffett,Lily, We usually have lunch together.
Buffett,Lily, He plays basketball every Sunday.
Buffett,Lily, They watch movies on Friday nights.
Buffett,Lily, She writes in her journal daily.
Buffett,Lily, He goes jogging every morning.
Buffett,Lily, We listen to music during our commute.
Buffett,Lily, They cook dinner together on weekends.
Buffett,Lily, She practices yoga in the park.
Buffett,Lily, He studies history for his class.
Buffett,Lily, We visit our grandparents monthly.
Buffett,Lily, They love exploring new restaurants.
Buffett,Lily, She paints landscapes as a hobby.
Buffett,Lily, He attends a coding bootcamp.
Buffett,Lily, We travel during the holidays.
Buffett,Lily, They decorate their house for Christmas.
Buffett,Lily, She tutors kids in her neighborhood.
Buffett,Lily, He plays the guitar in a band.
Buffett,Lily, We enjoy hiking in the mountains.
Buffett,Lily, They host a game night every week.
Buffett,Lily, She bakes cakes for special occasions.
Buffett,Lily, He collects vintage stamps.
Buffett,Lily, We organize community clean-up events.
Buffett,Lily, They volunteer at the local shelter.
Buffett,Lily, She designs her own clothing.
Buffett,Lily, He writes short stories for fun.
Buffett,Lily, We practice meditation in the mornings.
Buffett,Lily, They train for marathons together.
Buffett,Lily, She takes photos of wildlife.
Buffett,Lily, He builds model airplanes in his spare time.
Buffett,Lily, We learn new languages online.
Buffett,Lily, They garden during the summer.
Buffett,Lily, She organizes charity events.
Buffett,Lily, He goes fishing on the weekends.
Buffett,Lily, We play chess at the library.
Buffett,Lily, They foster kittens for the animal rescue.
Buffett,Lily, She experiments with new recipes.
Buffett,Lily, He fixes cars as a side job.
Buffett,Lily, We participate in trivia contests.
Buffett,Lily, They go stargazing in the countryside.
Buffett,Lily, She attends dance classes after work.
Buffett,Lily, He reads biographies of famous leaders.
Buffett,Lily, We donate clothes to the homeless shelter.
Buffett,Lily, They enjoy kayaking on the river.
Buffett,Lily, She sings in a local choir.
Buffett,Lily, He studies astronomy as a hobby.
Buffett,Lily, We bike around the city for exercise.
Buffett,Lily, They make pottery in their free time.
Buffett,Lily, She researches genealogy to trace her ancestry.
Lily,Buffett, too much
,Buffett, I can't logout
Lily,Buffett, Lily hello
Buffett,Lily, Buffett 123456789
Lily,Buffett, Lily Hello Buffett
Lily,Buffett, Lily I'm tired
Buffett,Hello,Lily Buffett asdasd
Buffett,Lily,Buffett Hello  world
Buffett,Andy, See you
Andy,Buffett, Did you get the file?
Andy,Buffett, hello
Andy,Buffett, Thank you! 
Andy,Buffett, I've got the file
Andy,Buffett,
Andy,Buffett, Thank you I
Andy,Buffett, Thank you. I've got the file
Andy,Buffett, Thank you,I've got the file
Andy,Buffett, Thanks for the video
Buffett,Andy, I will send you a video
Buffett,Andy, Thanks for the video
Andy,Buffett, See you next time ha
